Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Tax status,In stock?,Stock,Backorders allowed?,Sold individually?,Regular price,Sale price,Categories,Images,Weight (kg),Manage stock?,Stock status
simple,6009835080885-9835080888,TNT – Psycho Shaker,1,0,visible,"The most studied natural performance aid with proven muscle performance benefits.

Available at Elvare Group with fast, reliable delivery across South Africa.","Psycho Shaker by TNT. A premium supplement formulated for optimal results. Available at Elvare Group with fast, reliable delivery across South Africa.",taxable,1,,0,0,85.00,,"TNT Mercury, Accessories",https://www.psychoskull.co.za/wp-content/uploads/2026/04/WhatsApp-Image-2026-04-25-at-09.19.03.jpeg,,0,instock
simple,,UPA Flask,1,0,visible,"UPA Flask. A premium supplement formulated for optimal results. Available at Elvare Group with fast, reliable delivery across South Africa.",Premium-grade with Multiple Lids,taxable,1,,0,0,315.00,,"U.P.A, Accessories",https://www.psychoskull.co.za/wp-content/uploads/2025/05/UPA-Flask.png,,0,instock
simple,6009802902912-1,SSA – Hydration Jug 2.2L Black,1,0,visible,"Hydration Jug 2.2L Black by SSA. A premium supplement formulated for optimal results. Available at Elvare Group with fast, reliable delivery across South Africa.","Stay hydrated with SSA’s Hydration Jug which is an ideal way of meeting ythis daily water intake requirements. Excellent for training, traveling as well as work – you can easily avoid unnecessary trips to the water cooler with this nifty 2.2l  water jug.

Available at Elvare Group with fast, reliable delivery across South Africa.",taxable,1,,0,0,160.00,,"SSA, Aminos, Accessories",https://www.psychoskull.co.za/wp-content/uploads/2025/02/WhatsApp-Image-2025-02-14-at-11.48.45.jpeg,,0,instock
simple,,Marauder Shaker – Red,1,0,visible,"Red by Marauder Shaker. A premium supplement formulated for optimal results. Available at Elvare Group with fast, reliable delivery across South Africa.","Red by Marauder Shaker. A premium supplement formulated for optimal results. Available at Elvare Group with fast, reliable delivery across South Africa.",taxable,0,,0,0,55.00,,Accessories,https://www.psychoskull.co.za/wp-content/uploads/2022/07/Psycho-Skull-NPL-Marauder-Shaker-Red.png,,0,outofstock
simple,,NPL – Hydro Swirl Shaker 500ml,1,0,visible,"Compact Shaker

- Capacity 500 ml

- Available in Black, Turquoise and White

- Leak Proof

Available at Elvare Group with fast, reliable delivery across South Africa.","The NPL Hydro Swirl Shaker is a new innovation in shaker technology. It has a curved inside base which together with the cyclone mixing ball results in superior blending. Traditional shakers with a flat-base have square edges which the mixing ball is not able to access. This may leave powder residue in the corners of the shaker. The NPL Hydro Swirl Shaker has a 500 ml capacity and is the perfect compact shaker to take with you on-the-go.

Available at Elvare Group with fast, reliable delivery across South Africa.",taxable,0,,0,0,130.00,,"NPL, Accessories",https://www.psychoskull.co.za/wp-content/uploads/2021/07/Psycho-Skull-NPL-Water-Hydro-Swirl-Shaker-500ml-Black.png,,0,outofstock
simple,6009802884416,Nutritech – Creatine Mono 500g,1,0,visible,"Aids in INCREASE MUSCLE SIZE + STRENGTH

PURE MICRONISED CREATINE MONOHYDRATE

Available at Elvare Group with fast, reliable delivery across South Africa.","MUSCLE ENERGY
HELP INCREASE MUSCLE

NUTRITECH CREATINE MONO has been formulated using micronized pure creatine monohydrate, with 5000 mg per single serving. An exceptional choice for the athlete looking to increase strength, sporting performance, muscle mass and boost recovery. Micronized creatine monohydrate dissolves quicker in water and is able to be stored in ythis muscles in amounts appreciable enough to assist in building muscle and strength. NUTRITECH CREATINE MONO is the original and perfect companion an athlete’s pre and post-workout regime. THE LOWDOWN
CREATINE

NUTRITECH CREATINE MONO has been formulated to increase the production of energy that enables muscles to perform at a higher intensity. The more energy ythis muscles store, the better they can perform in events requiring intense immediate energy, such as; athletics, hockey, rugby, soccer, swimming and weightlifting. POST/INTRA WORKOUT
CREATINE

Through extensive research and testing it has been found that NUTRITECH CREATINE MONO, when combined with a professionally designed diet and workout program, increases muscle mass and muscle girth. Due to the muscle mass gains, it may also result in initial weight increases. Please consult ythis physician prior to the use of NUTRITECH CREATINE MONO.. DIRECTIONS
HOW TO TAKE

Mix 1 flat scoop with water or beverage of choice in a NUTRITECH shaker. Take 2 to 3 servings per day, evenly spaced, on an empty stomach. After 8 weeks of continued use take 1 week off and start cycle again.

Available at Elvare Group with fast, reliable delivery across South Africa.",taxable,0,,0,0,525.00,,"Creatine, Nutritech",https://www.psychoskull.co.za/wp-content/uploads/2021/06/Psycho-Skull-Nutritech-Creatine-Mono-500g.png,,0,outofstock
simple,6009880811915,TNT – Nutrient Beast,1,0,visible,"TNT NUTRIENT BEAST supports bridge those micro-nutrient deficiencies which can result in a reduction in your ability to adapt to a heightened state of recovery and wellness.

Available at Elvare Group with fast, reliable delivery across South Africa.","Formulated to support your overall health, wellness, and performance levels. This is the most complete multi-nutrient pack ever created. Featuring a range of the highest in demand micronutrients, minerals, adaptogenic aids, anti-inflammatory joint and hard tissue bolster systems, gut and digestive health, vital organ care complexes and Omega-3 for optimised hormone and health support. When you are training at higher levels than ever before, if ythis system is compromised because of mental or physical stress, or if you are looking for a convenient all-in-one solution to maximised health, NUTRIENT BEAST is it! INGREDIENTS:
Gelatin (Capsules) (Bovine) (Kosher & Halal, GMO-free, free of BSE/TSEs), Purified Water, Magnesium Stearate, Silicon Dioxide, Titanium Dioxide (E171), Allura Red (E129). DIRECTIONS FOR USE:
Take one pack daily, preferably in the mornings with breakfast. WARNINGS:
Consult ythis physician before using MenaQ7® if you are taking anti-coagulant medication such as Warfarin. Any persons with diabetes, using blood thinning medication, using anti-inflammatory medication, or those with known medical conditions should consult their primary healthcare practitioner before using this product. Discontinue use of This supplement at least 2 weeks prior to any scheduled surgical procedure. Always inform ythis healthcare practitioner when you are using other medication. If you are pregnant or breastfeeding, please consult ythis doctor, pharmacist of healthcare professional before using this product. Discontinue use if you experience any adverse signs or symptoms when using this product. TNT NUTRIENT BEAST is not intended to diagnose, treat, cure, or prevent any disease. TYPICAL NUTRITIONAL INFORMATION

Serving Size: 1 Sachet

Servings per Container: 30

Per Serving
*%NRV

VITA-MINERAL ARMThis COMPLEX
2x Black Capsules

Vitamin B1 (as Thiamine)
12 mg
1000%

Vitamin B2 (as Riboflavin)
25 mg
1923%

Vitamin B3 (as Nicotinamide)
35 mg
219%

Vitamin B6 (as Pyridoxine HCl)
25 mg
1476%

Folic Acid
250 µg
62.50%

Vitamin B12 (as Cyanocobalamin)
25 µg
1041%

Biotin
60 µg
200%

Pantothenic Acid (as d-Calcium Pantothenate)
12,5 mg
250%

Vitamin C (as Ascorbic Acid)
350 mg
350%

Vitamin D3 (Cholecalciferol)
10 µg
68%

Vitamin E (as dl-Alpha-Tocopheryl Acetate)
10 mgTE
67%

Potassium (as Potassium Phosphate)
100 mg
†

Boron
2,5 mg
†

Calcium (as Calcium Carbonate)
150 mg
12%

Copper (as Copper Sulphate-5-Hydrate)
0,1 mg
11%

Chromium (as Chromium Picolinate)
3,8 µg
11%

Iron (as Ferrous Fumarate)
10 mg
56%

Magnesium (as Magnesium Oxide)
250 mg
60%

Manganese (as Manganese Sulphate)
1 mg
43%

Selenium (as Selenium AAC 2%)
60 µg
109%

Zinc (as Zinc Gluconate)
2,8 mg
11%

Inositol
50 mg
†

Grape Seed Extract (95% Polyphenols)

(Vitis Vinifera) (Seed)
50 mg
†

Lutein (Provitamin A carotenoid)

(Tagetes spp.) (Aerial Parts)
0,5 mg
2%

SHIELD ORGAN & DIGESTIVE SUPPORT
2x Yellow Capsules

DigeZyme® (Digestive Enzyme Blend:
50 mg
†

Amylases, Proteases, Lipases, Lactases and Cellulases)

Ginger Root Extract (Zingiber Officinale Roscoe) (Root)
75 mg
†

Bromelain Enzyme (80 GDU/g)

(Ananas Comosus.L) (Stem)
50 mg
†

Papain Enzyme (2400 GDU/g) (Carica Papaya) (Fruit)
50 mg
†

Inulin-FOS (FructoOligoSaccharides) (Orafti®Synergy 1)
150 mg
†

Milk Thistle Powder (Silybum Marianum) (Seed)
300 mg
†

Stinging Nettle Extract (Urtica Dioica) (Root)
50 mg
†

Alpha Lipoic Acid
100 mg
†

Hawthorn Berry Extract (Crataegus spp.) (Fruit)
250 mg
†

Garlic Extract 4:1 (Allium Sativum) (Bulb)
150 mg
†

Sunflower Lecithin Powder (Helianthus) (Seed)
30 mg
†

Vitamin K2 (from MenaQ7® Menaquinone, MK-7)
40 mcg
33%

DEFENCE ADAPTOGEN & JOINT AID+
1x Red Capsule

Cissus Quadrangularis (4:1) (Vine)
150 mg
†

Boswellia Serrata (65% Organic Acids)  (Gum Resin)
150 mg
†

Turkey Tail (Trametes Versicolor) (Whole Mushroom)
25 mg
†

Ashwagandha Extract (2.5% Withanosides)

(Withania Somnifera) (Root)
250 mg
†

Bacopa Extract (Std. 20% Bacosides)

(Bacopa Monnieri) (Whole Plant)
25 mg
†

Cordyceps (Cordyceps Sinensis) (Whole Mushroom)
50 mg
†

Reishi Mushroom

(Ganoderma Lucidum) (Whole Mushroom)
50 mg
†

CLEAN-OMEGA 3 COMPLEX
2x Softgel Capsules

Omega 3** Fish Oil

(Wild Caught Peruvian Anchovy), providing:
2000 mg
†

     Eicosapentaenoic Acid (EPA) (18%)
360 mg
†

     Docosahexaenoic Acid (DHA) (12%)
240 mg
†

**Omega-3 Fatty Acids as Triglycerides. *Nutrient Reference Values (NRVs) for individuals 4 years and older (2010). † NRV not yet established.”

Sugar Free / Bovine Gelatin

Available at Elvare Group with fast, reliable delivery across South Africa.",taxable,1,,0,0,420.00,,"Performance, TNT Mercury, Health & Recovery",https://www.psychoskull.co.za/wp-content/uploads/2021/04/Psycho-Skull-TNT-Nutrient-Beast.png,,0,instock
simple,60009707060892,Healthy U – Melatonin,1,0,visible,"REM INDUCING

RELAXING

FAST RECOVERY

ANTI AGING","Melatonin sleep is a hormone produced by the brain in response to fading light. It prepares the body for sleep and is often used as a sleep aid.

Available at Elvare Group with fast, reliable delivery across South Africa.",taxable,1,,0,0,225.00,,"Healthy U Nutrition, Health & Recovery",https://www.psychoskull.co.za/wp-content/uploads/2021/04/Psycho-Skull-Healthy-U-Melatonin-1.png,,0,instock
simple,60009707060885,Healthy U – ECYA Burn,1,0,visible,"BLOOD STIMULATING

REDUCES APPETITE

BOOST METABOLISM

EXTREME ENERGY

Available at Elvare Group with fast, reliable delivery across South Africa.","Burn accelerates weight loss. Increased blood stimulation athletic performance and amplified energy. Dosages of Yohimbine and 299-42-3 may vary depending on each individual goals, tolerances and body weight

Consume after a meal to avoid discomfort.

Available at Elvare Group with fast, reliable delivery across South Africa.",taxable,1,,0,0,435.00,,"Healthy U Nutrition, Fat Burners",https://www.psychoskull.co.za/wp-content/uploads/2021/04/Psycho-Skull-Healthy-U-ECYA-Burn.png,,0,instock
simple,60009707060861,Healthy U – ECA Slim,1,0,visible,"APPETITE SUPPRESSANT

BOOST METABOLISM

MENTAL FOCUS

RAPID ENERGY

THERMOGENIC

Available at Elvare Group with fast, reliable delivery across South Africa.","Slim accelerates weight loss, increases athletic performance and amplifies energy. Dosages of 299-42-3 may vary depending on individuals goals and body weight. Consume with or after a meal to avoid discomfort. Disclaimer: This supplement has not been evaluated by HPASA, It is not intended to diagnose, treat, cure or prevent any disease

Available at Elvare Group with fast, reliable delivery across South Africa.",taxable,1,,0,0,420.00,,"Healthy U Nutrition, Fat Burners",https://www.psychoskull.co.za/wp-content/uploads/2021/04/Psycho-Skull-Healthy-U-ECA-Slim.png,,0,instock
